Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),LSRAM (20K),Math (18x18),Chip Globals
COREAHBTOAPB3_C0_0/COREAHBTOAPB3_C0_0/U_AhbToApbSM/Primitives,23,9,0,0,0,0,0,0,0
COREAHBTOAPB3_C0_0/COREAHBTOAPB3_C0_0/U_ApbAddrData/Primitives,17,88,0,0,0,0,0,0,0
COREAHBTOAPB3_C0_0/COREAHBTOAPB3_C0_0/U_PenableScheduler/Primitives,2,2,0,0,0,0,0,0,0
CORERESET_PF_C0_0/CoreRESET_PF_C0_0/Primitives,1,16,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/masterstage_0/Primitives,54,27,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/masterstage_0/address_decode/Primitives,1,0,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/masterstage_1/Primitives,75,46,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/masterstage_1/default_slave_sm/Primitives,1,1,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/slavestage_7/Primitives,48,1,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/slavestage_7/slave_arbiter/Primitives,3,3,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/slavestage_8/Primitives,61,1,0,0,0,0,0,0,0
CoreAHBL_C0_0/CoreAHBL_C0_0/matrix4x16/slavestage_8/slave_arbiter/Primitives,4,3,0,0,0,0,0,0,0
CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/Primitives,18,0,0,0,0,0,0,0,0
CoreGPIO_IN_C0_0/CoreGPIO_IN_C0_0/Primitives,40,8,0,0,0,0,0,0,0
CoreGPIO_OUT_C0_0/CoreGPIO_OUT_C0_0/Primitives,2,4,0,0,0,0,0,0,0
CoreJTAGDebug_TRST_C0_0/CoreJTAGDebug_TRST_C0_0/Primitives,41,0,0,0,0,0,0,0,2
CoreJTAGDebug_TRST_C0_0/CoreJTAGDebug_TRST_C0_0/genblk2.genblk2[0].BUFD_TRST/Primitives,35,0,0,0,0,0,0,0,0
CoreJTAGDebug_TRST_C0_0/CoreJTAGDebug_TRST_C0_0/genblk3.genblk1.UJ_JTAG/BUFD_TDI/Primitives,34,0,0,0,0,0,0,0,0
CoreJTAGDebug_TRST_C0_0/CoreJTAGDebug_TRST_C0_0/genblk3.genblk1.UJ_JTAG/BUFD_TMS/Primitives,34,0,0,0,0,0,0,0,0
CoreJTAGDebug_TRST_C0_0/CoreJTAGDebug_TRST_C0_0/genblk3.genblk1.UJ_JTAG/Primitives,110,17,0,0,0,0,0,0,0
CoreTimer_C0_0/CoreTimer_C0_0/Primitives,131,118,0,0,0,0,0,0,0
CoreTimer_C1_0/CoreTimer_C1_0/Primitives,132,118,0,0,0,0,0,0,0
CoreUARTapb_C0_0/CoreUARTapb_C0_0/Primitives,27,24,0,0,0,0,0,0,0
CoreUARTapb_C0_0/CoreUARTapb_C0_0/uUART/Primitives,5,9,0,0,0,0,0,0,0
CoreUARTapb_C0_0/CoreUARTapb_C0_0/uUART/make_CLOCK_GEN/Primitives,24,19,0,0,0,0,0,0,0
CoreUARTapb_C0_0/CoreUARTapb_C0_0/uUART/make_RX/Primitives,65,41,0,0,0,0,0,0,0
CoreUARTapb_C0_0/CoreUARTapb_C0_0/uUART/make_TX/Primitives,28,21,0,0,0,0,0,0,0
