Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, MIV_RV32IMAF_L1_AHB_C0_MIV_RV32IMAF_L1_AHB_C0_0_MIV_RV32IMAF_L1_AHB_ROCKET,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   241 MB,    13 MB,     0 MB,     2 MB,    11 MB
work, MIV_RV32IMAF_L1_AHB_C0_MIV_RV32IMAF_L1_AHB_C0_0_MIV_RV32IMAF_L1_AHB_ROCKET_TILE_TILE_0s,0h:00m:02s,0h:00m:02s,0h:00m:00s,0h:00m:00s,   257 MB,     5 MB,     5 MB,     0 MB,     0 MB
work, MIV_RV32IMAF_L1_AHB_C0_MIV_RV32IMAF_L1_AHB_C0_0_MIV_RV32IMAF_L1_AHB_FPUFMAPIPE_0s,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   257 MB,     3 MB,     3 MB,     0 MB,     0 MB
work, MIV_RV32IMAF_L1_AHB_C0_MIV_RV32IMAF_L1_AHB_C0_0_MIV_RV32IMAF_L1_AHB_DCACHE_DCACHE_0s_1s,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   296 MB,    12 MB,     0 MB,     5 MB,     6 MB
work, MIV_RV32IMAF_L1_AHB_C0_MIV_RV32IMAF_L1_AHB_C0_0_MIV_RV32IMAF_L1_AHB_TLDEBUG_MODULE_INNER_DM_INNER,0h:00m:02s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   296 MB,    21 MB,     6 MB,    11 MB,     4 MB
